010,1571.269775,149.418411
020,1323.907516,117.538528
030,1167.531448,102.630608
040,1071.989220,93.654213
050,993.497284,88.763916
060,935.220352,82.796829
070,845.760063,76.918884
080,818.517952,70.024651
090,767.269478,66.649292
100,746.435806,63.139809
110,716.814083,60.383018
120,663.684669,55.920380
130,607.336956,56.039196
140,555.941288,50.563992
150,514.038387,47.509895
160,469.968933,43.930691
170,457.507214,42.722324
180,452.239437,39.892490
190,440.976616,39.903591
200,432.493107,42.582722
210,433.925652,39.388062
220,410.788647,40.166889
230,410.008778,40.633057
240,434.255501,40.643219
250,432.605186,38.661091
260,431.645123,42.986027
270,458.616909,42.239986
280,420.090107,36.531441
290,405.396160,37.779751
300,402.832066,36.717983
310,399.550117,36.363758
320,396.465813,36.309093
330,401.232906,36.646744
340,395.978294,35.870296
350,396.285255,36.345360
360,392.786476,37.422882
370,399.073994,37.856300
380,399.391373,36.827904
390,392.559555,35.967754
400,396.959240,36.441128

