0010,2486.551712,241.009094
0020,1793.698273,162.333801
0030,1582.110031,142.882278
0040,1463.160370,127.193123
0050,1351.750504,123.182045
0060,1274.189857,115.653236
0070,1190.757462,105.198769
0080,1137.969398,96.529808
0090,1069.009705,92.973419
0100,1015.144783,87.576828
0110,968.006561,87.501686
0120,928.840347,78.403862
0130,887.213791,76.475578
0140,854.908867,72.039642
0150,816.506081,71.836494
0160,790.401344,70.356133
0170,772.250748,65.147614
0180,749.219887,68.055733
0190,723.319725,59.697517
0200,716.317154,60.602379
0210,670.827827,59.136551
0220,647.223068,57.421764
0230,614.794048,54.592495
0240,619.676548,51.645958
0250,604.101059,50.673233
0260,596.888744,50.971916
0270,575.926285,50.938820
0280,571.967655,48.939999
0290,565.276192,47.473766
0300,560.484531,51.639584
0310,555.468586,47.458725
0320,560.369389,49.776642
0330,555.575386,50.310287
0340,548.400562,48.637344
0350,528.974842,45.768883
0360,510.260994,46.302036
0370,569.534935,48.883190
0380,570.620491,49.463577
0390,507.256538,45.636944
0400,521.227413,46.581837

